asn,name,info_type,info_scope,created
62111,dual.systems,Network Services,Europe,2023-02-04T23:11:18Z
34661,Briz,Cable/DSL/ISP,Europe,2017-10-24T07:51:42Z
31725,ISP Shtorm LTD,NSP,Europe,2017-11-16T21:37:45Z
51972,SIM-TELECOM,Cable/DSL/ISP,Regional,2017-12-07T07:16:10Z
39862,DIGICOM,Enterprise,Europe,2017-12-14T11:49:54Z
41119,Objedinenie Group,Cable/DSL/ISP,Regional,2017-12-19T17:19:38Z
41120,IF-IX Route Servers,Route Server,Europe,2017-12-20T19:46:31Z
50579,Suchasni informatsiyni merezhi,Cable/DSL/ISP,Europe,2017-12-20T19:48:19Z
41323,INFOBYTE,Cable/DSL/ISP,Europe,2017-12-24T20:23:29Z
51962,PowerNet Ukraine,Cable/DSL/ISP,Regional,2018-02-02T17:18:50Z
50392,Campus Networks,Cable/DSL/ISP,Regional,2018-02-06T09:20:07Z
51784,X-City,Cable/DSL/ISP,Regional,2018-03-28T08:03:20Z
198754,WebCraft,Content,Europe,2018-04-04T12:38:56Z
41645,WebCraft AS41645,(unset),Not Disclosed,2018-04-04T13:04:02Z
203980,ITLUCKS,Cable/DSL/ISP,Europe,2018-04-11T18:00:27Z
204725,UA VPS,(unset),Global,2018-05-24T11:06:17Z
48919,UACITY,Cable/DSL/ISP,Regional,2018-05-30T13:28:11Z
50115,Lekol,Cable/DSL/ISP,,2018-06-07T07:57:00Z
204875,ISTEC UKRAINE,Cable/DSL/ISP,Europe,2018-06-08T08:28:32Z
6807,Kharkiv Polytechnical Institute,Educational/Research,Not Disclosed,2018-07-13T09:10:51Z
58119,CIB,Content,Regional,2009-11-03T10:45:01Z
48438,Corbina Telecom AS48438,Cable/DSL/ISP,Regional,2018-09-17T12:58:07Z
39399,Fenix VT,NSP,Europe,2018-09-18T13:56:06Z
197901,Okolita Aleksandr Valer'evich,Cable/DSL/ISP,Europe,2018-09-30T14:07:39Z
48641,Syntegra Telecom,Cable/DSL/ISP,Regional,2018-10-12T08:36:40Z
49824,Astra-net,Cable/DSL/ISP,Europe,2018-10-16T19:28:20Z
57498,SMART-M SOLUTIONS,(unset),Europe,2018-10-30T15:10:26Z
51500,Servisnet,NSP,Regional,2018-12-01T09:37:39Z
39748,vDome.Net,Content,Europe,2019-01-09T11:08:38Z
49588,CDC.UA,Cable/DSL/ISP,Regional,2019-01-23T13:42:11Z
35795,VEDEKON,(unset),Regional,2019-02-01T09:24:55Z
8647,IP Port,NSP,Europe,2019-02-23T13:03:28Z
197522,Kalush Information Network,(unset),Regional,2019-03-22T17:24:15Z
44629,PointNet,Enterprise,Regional,2019-04-27T09:17:14Z
50401,LANTRACE,Cable/DSL/ISP,Europe,2019-06-10T17:56:48Z
8779,KhmelnitskInfocom,Cable/DSL/ISP,Regional,2021-12-21T10:52:41Z
56668,Simnet,Cable/DSL/ISP,Regional,2019-07-29T08:50:39Z
41985,Stargroup,Cable/DSL/ISP,Regional,2019-07-29T09:00:41Z
31343,Intertelecom,Enterprise,Regional,2019-08-28T11:26:29Z
51069,Dnepronet,Cable/DSL/ISP,Regional,2019-10-09T17:53:48Z
49706,RV-IX,Route Server,Regional,2022-03-18T11:14:26Z
43309,GiperNet,Cable/DSL/ISP,Regional,2019-11-04T16:05:54Z
49984,Telcom,Cable/DSL/ISP,Europe,2019-11-06T18:20:23Z
39065,SOHONET,Enterprise,Regional,2019-11-20T07:52:30Z
204384,OTT UKRAINE,Content,Europe,2019-12-11T09:48:22Z
209116,WEB PRO LLC,Enterprise,Regional,2019-12-20T10:02:12Z
6846,UKRPACK,(unset),Europe,2020-01-02T08:17:43Z
44668,ZNET,Cable/DSL/ISP,Regional,2020-01-13T07:48:40Z
57883,NITAET,Cable/DSL/ISP,Europe,2020-01-19T22:37:54Z
57999,DataNet ISP,Cable/DSL/ISP,Regional,2020-02-12T08:02:52Z
15461,Science Production Enterprise Solver,Cable/DSL/ISP,Regional,2020-03-02T06:36:00Z
207301,Roman Sartov,Network Services,Europe,2020-03-03T20:27:39Z
