[1/3] routed ASN sets at 2024-09-01T00:00 and 2026-08-01T00:00 ...
  T0=1661  T1=1584  departed=181  new=104
  [164/181] AS209121: 1 prefixes
  [165/181] AS209742: 1 prefixes
  [166/181] AS209845: 2 prefixes
  [167/181] AS209952: 1 prefixes
  [168/181] AS210546: 4 prefixes
  [169/181] AS210950: 1 prefixes
  [170/181] AS211199: 9 prefixes
  [171/181] AS211741: 1 prefixes
  [172/181] AS212392: 1 prefixes
  [173/181] AS212913: 10 prefixes
  [174/181] AS212956: 1 prefixes
  [175/181] AS213375: 1 prefixes
  [176/181] AS214417: 3 prefixes
  [177/181] AS215232: 19 prefixes
  [178/181] AS215789: 3 prefixes
  [179/181] AS216093: 8 prefixes
  [180/181] AS216271: 29 prefixes
  [181/181] AS216288: 1 prefixes
[3/3] checking current origin of 509 prefixes ...
  25/509
  50/509
  75/509
  100/509
  125/509
  150/509
  175/509
  200/509
  225/509
  250/509
  275/509
  300/509
  325/509
  350/509
  375/509
  400/509
  425/509
  450/509
  475/509
  500/509
{
  "t0": "2024-09-01T00:00",
  "t1": "2026-08-01T00:00",
  "routed_asns_t0": 1661,
  "routed_asns_t1": 1584,
  "asns_departed": 181,
  "asns_new": 104,
  "prefixes_checked": 509,
  "outcomes": {
    "DARK": 209,
    "ABSORBED": 163,
    "RETURNED": 137
  },
  "ipv4_addresses_by_outcome": {
    "ABSORBED": 54274,
    "DARK": 104192,
    "RETURNED": 115200
  },
  "absorbed_share_of_resolved_prefixes": 0.4382,
  "distinct_acquirers": 97,
  "top5_acquirer_share_of_absorbed_addresses": 0.2972
}

Top acquirers:
 new_origin_asn                           new_origin_holder  prefixes  addresses  sellers
        64410.0               BELICOMNET-AS BELICOM.NET LLC         2       6144        1
        25082.0          AS-VINER-TELECOM Viner Telecom LLC         6       3072        1
       204552.0             POPILNYANET-AS POPILNYA.NET LLC         2       2560        1
       203020.0  HostRoyale HostRoyale Technologies Pvt Ltd         5       2304        5
       213996.0                       J-AND-Y-ASN "J&Y" LLC         3       2048        1
        61159.0 GIGANET-CDN Ukrainian Backbone Networks LLC         7       1792        1
       202502.0                      Eurolir-AS LLC "ATOM3"         5       1280        1
       203273.0                NetCraftersOU NetCrafters OU         3       1280        3
       213890.0              novoros-as NOVOROS-TELECOM LLC         5       1280        1
        34661.0               BREEZE-NETWORK TOV TRK "Briz"         1       1024        1
        48323.0         NEIRONSYSTEMS-NET PP Neiron Systems         1       1024        1
        58309.0                      LANGATE-AS Langate Ltd         1       1024        1
        59671.0          BIT-AS TzOV "Biznes i Technologii"         4       1024        1
        50581.0   UTG Ukrainian Telecommunication Group LLC         3        768        1
       213694.0                          INLAN-AS INLAN LLC         2        768        1
